Date	Price(DIG)	%Change(DIG)	Volume(DIG)	%Change(Volume)	Price(Oil)	%Change(Oil)	Price(S&P500)	%Change(S&P500)
11/1/18	31.61	-5.70%	4274400	44.07%	62.32	-18.78%	2723.06	-2.24%
10/1/18	33.52	-22.76%	2966900	268.38%	76.73	1.82%	2785.46	-4.00%
9/1/18	43.4	4.70%	805400	-6.51%	75.36	6.02%	2901.5	1.53%
8/1/18	41.45	-6.67%	861500	-13.68%	71.08	-2.19%	2857.82	2.30%
7/1/18	44.41	1.83%	998000	-25.06%	72.67	0.96%	2793.64	1.43%
6/1/18	43.61	0.72%	1331700	-30.11%	71.98	-1.97%	2754.35	1.96%
5/1/18	43.3	6.31%	1905500	-31.51%	73.43	6.75%	2701.49	1.80%
4/1/18	40.73	19.34%	2782300	6.15%	68.79	7.20%	2653.63	-1.82%
3/1/18	34.13	2.74%	2621100	-24.22%	64.17	1.12%	2702.77	-0.09%
2/1/18	33.22	-20.77%	3458700	120.45%	63.46	-4.18%	2705.16	-3.03%
1/1/18	41.93	5.88%	1568900	60.34%	66.23	8.24%	2789.8	4.71%
12/1/17	39.6	9.91%	978500	-35.41%	61.19	2.10%	2664.34	2.73%
11/1/17	36.03	3.83%	1515000	-21.59%	59.93	9.12%	2593.61	1.43%
10/1/17	34.7	-1.98%	1932100	-36.53%	54.92	3.72%	2557	2.57%
9/1/17	35.4	19.96%	3044000	-13.71%	52.95	6.03%	2492.84	1.49%
8/1/17	29.51	-10.79%	3527700	19.78%	49.94	4.78%	2456.22	0.09%
7/1/17	33.08	4.65%	2945200	6.88%	47.66	3.23%	2454.1	0.83%
6/1/17	31.61	-1.71%	2755600	21.29%	46.17	-7.46%	2433.99	1.61%
5/1/17	32.16	-7.77%	2271900	-11.20%	49.89	-4.35%	2395.35	1.53%
4/1/17	34.87	-6.71%	2558400	-22.15%	52.16	2.48%	2359.31	-0.32%
3/1/17	37.38	-2.81%	3286400	32.16%	50.9	-6.35%	2366.82	1.58%
2/1/17	38.46	-5.18%	2486700	12.37%	54.35	1.42%	2329.91	2.41%
1/1/17	40.56	-6.99%	2212900	-14.97%	53.59	1.84%	2275.12	1.27%
12/1/16	43.61	3.37%	2602400	-29.87%	52.62	16.26%	2246.63	3.77%
