Date,Price(DIG),Volume(DIG),Price(Oil),Price(S&P500)
11/1/18,31.610,4274400.000,62.320,2723.060
10/1/18,33.520,2966900.000,76.730,2785.460
9/1/18,43.400,805400.000,75.360,2901.500
8/1/18,41.450,861500.000,71.080,2857.820
7/1/18,44.410,998000.000,72.670,2793.640
6/1/18,43.610,1331700.000,71.980,2754.350
5/1/18,43.300,1905500.000,73.430,2701.490
4/1/18,40.730,2782300.000,68.790,2653.630
3/1/18,34.130,2621100.000,64.170,2702.770
2/1/18,33.220,3458700.000,63.460,2705.160
1/1/18,41.930,1568900.000,66.230,2789.800
12/1/17,39.600,978500.000,61.190,2664.340
11/1/17,36.030,1515000.000,59.930,2593.610
10/1/17,34.700,1932100.000,54.920,2557.000
9/1/17,35.400,3044000.000,52.950,2492.840
8/1/17,29.510,3527700.000,49.940,2456.220
7/1/17,33.080,2945200.000,47.660,2454.100
6/1/17,31.610,2755600.000,46.170,2433.990
5/1/17,32.160,2271900.000,49.890,2395.350
4/1/17,34.870,2558400.000,52.160,2359.310
3/1/17,37.380,3286400.000,50.900,2366.820
2/1/17,38.460,2486700.000,54.350,2329.910
1/1/17,40.560,2212900.000,53.590,2275.120
12/1/16,43.610,2602400.000,52.620,2246.630
11/1/16,42.190,3710800.000,45.260,2164.990
10/1/16,35.800,3357700.000,49.290,2143.020
9/1/16,38.450,2995300.000,45.040,2157.690
8/1/16,36.500,3033600.000,44.880,2170.950
7/1/16,35.770,3027800.000,44.130,2148.900
6/1/16,37.380,4013700.000,47.690,2083.890
5/1/16,35.590,3058500.000,45.940,2065.550
4/1/16,36.550,3970600.000,40.750,2075.540
3/1/16,30.920,6495900.000,37.340,2021.950
2/1/16,26.050,9403400.000,31.030,1904.420
1/1/16,27.340,10143500.000,29.780,1918.600
12/1/15,29.930,6588800.000,36.570,2054.080
11/1/15,37.980,2775300.000,43.110,2080.620
10/1/15,38.530,4114400.000,46.960,2024.810
9/1/15,31.190,4131400.000,46.280,1944.410
8/1/15,36.600,5813100.000,45.690,2039.870
7/1/15,40.340,3947100.000,54.340,2094.140
6/1/15,48.100,2701800.000,61.310,2099.290
5/1/15,52.030,2811300.000,62.510,2111.940
4/1/15,57.800,3594600.000,57.540,2094.860
3/1/15,50.650,3533800.000,52.830,2079.990
2/1/15,53.000,5435000.000,54.790,2082.200
1/1/15,48.320,8359700.000,47.110,2028.180
12/1/14,54.010,7626200.000,60.700,2054.270
11/1/14,54.720,3161800.000,76.990,2044.570
10/1/14,66.830,5354700.000,86.080,1937.270
9/1/14,72.780,1730400.000,95.850,1993.230
8/1/14,85.910,992900.000,100.050,1961.530
7/1/14,81.250,967600.000,105.230,1973.100
6/1/14,88.320,1263500.000,108.370,1947.090
5/1/14,79.110,749200.000,105.710,1889.770
4/1/14,77.920,1171800.000,104.870,1864.260
3/1/14,70.930,1071500.000,104.040,1863.520
2/1/14,67.730,2550600.000,104.830,1817.040
1/1/14,61.000,1591500.000,102.100,1822.360
12/1/13,69.670,1268200.000,105.480,1807.780
11/1/13,65.930,981300.000,102.630,1783.540
10/1/13,65.670,1586200.000,105.430,1720.030
9/1/13,60.570,1421700.000,108.760,1687.170
8/1/13,57.850,1762400.000,108.160,1670.090
7/1/13,60.020,1985900.000,105.260,1668.680
6/1/13,54.220,2733400.000,99.740,1618.770
5/1/13,56.940,2793300.000,99.370,1639.840
4/1/13,54.260,3346400.000,98.850,1570.700
3/1/13,55.620,3480800.000,102.520,1550.830
2/1/13,53.470,4938400.000,107.640,1512.310
1/1/13,53.410,3388100.000,105.100,1480.400
12/1/12,45.730,3066900.000,101.190,1422.290
11/1/12,45.010,4485200.000,101.170,1394.510
10/1/12,46.470,5710300.000,103.410,1437.820
9/1/12,48.780,5071000.000,106.280,1443.420
8/1/12,45.900,5511200.000,105.270,1403.450
7/1/12,43.860,9183000.000,96.750,1359.780
6/1/12,40.560,12249500.000,90.730,1323.480
5/1/12,36.840,9760900.000,104.090,1341.270
4/1/12,46.330,5826800.000,113.670,1386.430
3/1/12,47.590,7254900.000,117.790,1389.240
2/1/12,51.340,7832100.000,112.690,1352.490
1/1/12,45.530,11410400.000,107.070,1300.580
12/1/11,43.910,18779600.000,104.230,1243.320
11/1/11,45.370,28954900.000,105.410,1226.420
10/1/11,44.430,44212500.000,99.850,1207.220
9/1/11,32.770,30503200.000,100.820,1173.880
8/1/11,43.930,36133500.000,100.490,1185.310
7/1/11,56.250,17599600.000,107.920,1325.190
6/1/11,55.120,29908000.000,105.850,1287.290
5/1/11,57.370,29724000.000,108.070,1338.310
4/1/11,63.030,16084500.000,116.240,1331.510
3/1/11,61.890,30055600.000,108.650,1304.490
2/1/11,60.600,26742500.000,97.910,1321.120
1/1/11,52.700,27617400.000,92.690,1282.620
12/1/10,45.810,22952600.000,90.010,1241.530
11/1/10,38.770,25925200.000,84.530,1198.890
10/1/10,34.790,32776300.000,81.720,1171.580
9/1/10,31.500,27919000.000,76.120,1122.080
8/1/10,26.360,37780000.000,75.830,1087.280
7/1/10,28.950,50818700.000,74.580,1079.800
6/1/10,25.070,77639900.000,74.730,1083.360
5/1/10,28.650,103210600.000,75.620,1125.060
4/1/10,37.230,65046700.000,84.180,1197.320
3/1/10,34.270,65102600.000,79.300,1152.050
2/1/10,32.500,98959800.000,74.760,1089.160
1/1/10,31.430,80818900.000,77.120,1123.580
